date,type,company,headline,round,amount,investors,sector,county,source_url
,press,,Honors College,,,,University,Brookings,https://www.sdstate.edu/van-d-barbara-b-fishback-honors
,press,,Elevate Magazine,,,,Startup,Pennington,https://rapidcitybusinessjournal.com/elevate-magazine/
,press,,Business Awards Night,,,,Startup,Pennington,resources/awards/
,press,,Black Hills Manufacturing Alliance,,,,Startup,Pennington,blackhillsmfg/
,press,,Workforce,,,,Startup,Pennington,workforce-success/
,press,,Entrepreneur Mentorship Program,,,,Startup,Pennington,innovation/mentors/
,press,,David Lust Accelerator Building,,,,Startup,Pennington,innovation/david-lust-accelerator-building/
,press,,Black Hills Workforce Resources,,,,Startup,Pennington,workforce-talent/ecosystem/
,press,,SkillBridge Program,,,,Startup,Pennington,skillbridge/
,press,,Internship Guide,,,,Startup,Pennington,workforce-talent/internships/
,press,,Scholarships,,,,Startup,Pennington,resources/scholarships/
,press,,Business Advocacy,,,,Startup,Pennington,business-advocacy-quality-growth/
,press,,Crackerbarrels,,,,Startup,Pennington,crackerbarrels/
,press,,Election Resources,,,,Startup,Pennington,business-advocacy/election-resources/
,press,,National Civics Bee,,,,Startup,Pennington,business-advocacy/civics-bee/
,press,,,,,,Startup,Pennington,https://www.facebook.com/ElevateRapidCity/
,press,,Invest in Elevate,,,,Startup,Pennington,forms/investor-information/
,press,,Job Board,,,,Startup,Pennington,https://careers.elevaterapidcity.com/
,press,,Elevate Foundation,,,,Startup,Pennington,foundation/
,press,,Board,,,,Startup,Pennington,about/board-of-directors/
,press,,Staff,,,,Startup,Pennington,staff/
,press,,Annual Report,,,,Startup,Pennington,annual-report/
,press,,Timeline,,,,Startup,Pennington,timeline/
,press,,Careers,,,,Startup,Pennington,careers/
